Date,Value,Open,Close,High,Low
02/01/20,5540415.0,22.1,22.0,22.25,21.45
03/01/20,5202825.0,22.0,22.2,22.5,22.0
06/01/20,4079315.0,22.2,22.0,22.2,22.0
07/01/20,10348165.0,22.0,22.2,22.25,21.9
08/01/20,15042130.0,22.05,22.0,22.05,21.9
09/01/20,13438130.0,21.95,22.1,22.1,21.8
10/01/20,8338365.0,22.1,22.0,22.1,21.8
14/01/20,10827330.0,22.0,21.9,22.2,21.4
15/01/20,25555915.0,21.9,21.9,21.9,21.55
16/01/20,10506185.0,21.9,21.65,21.9,21.55
17/01/20,8033995.0,21.8,21.8,21.8,21.55
20/01/20,5812515.0,21.8,21.5,21.8,21.05
21/01/20,10575755.0,21.1,21.5,21.5,20.95
22/01/20,19211135.0,21.45,21.1,21.45,20.95
23/01/20,3515540.0,21.3,21.5,21.5,21.05
24/01/20,5238005.0,21.5,22.0,22.0,21.0
27/01/20,2127805.0,22.0,21.65,22.0,21.2
28/01/20,4567130.0,21.65,20.65,21.65,20.65
29/01/20,46340031.0,20.7,20.0,21.1,19.96
30/01/20,42133372.0,20.0,20.0,20.75,19.96
31/01/20,15280094.0,20.0,22.0,22.0,19.9
03/02/20,5624755.0,21.6,20.35,21.6,20.2
04/02/20,11564040.0,21.4,20.2,21.4,20.2
05/02/20,8836704.0,20.3,20.25,20.5,19.86
06/02/20,6450775.0,20.5,20.35,20.6,20.3
07/02/20,2817535.0,20.0,20.8,20.8,20.0
10/02/20,7655255.0,20.8,20.3,20.8,20.2
11/02/20,11012821.0,20.3,20.3,20.3,19.98
12/02/20,4271462.0,20.3,20.0,20.3,19.96
13/02/20,4784420.0,20.05,20.2,20.2,19.98
14/02/20,25224393.0,20.2,19.9,20.25,19.8
17/02/20,4077246.0,20.1,19.9,20.1,19.8
18/02/20,2201427.0,20.0,20.15,20.15,19.9
19/02/20,9022167.0,20.1,20.2,20.2,19.7
20/02/20,6690456.0,20.1,20.2,20.2,19.86
21/02/20,15870226.0,20.0,19.9,20.1,19.9
24/02/20,9315374.0,19.84,19.5,19.88,19.4
26/02/20,24122184.0,19.4,19.28,19.42,19.0
27/02/20,27158334.0,19.28,19.5,19.5,19.16
28/02/20,24822648.0,19.3,19.4,19.4,19.1
02/03/20,60820592.0,19.5,19.14,19.6,18.9
03/03/20,36484026.0,19.22,19.2,19.6,19.0
04/03/20,8767844.0,19.3,19.42,19.6,19.12
05/03/20,37749434.0,19.6,19.46,19.84,19.42
06/03/20,33771324.0,19.5,19.48,19.7,19.48
09/03/20,35081486.0,19.1,19.0,19.2,18.8
10/03/20,42457974.0,16.8,17.5,17.6,16.52
