Date,Value,Open,Close,High,Low
02/01/20,31920.0,3.21,3.12,3.21,3.12
03/01/20,22470.0,3.21,3.21,3.21,3.21
06/01/20,32300.0,3.23,3.23,3.23,3.23
07/01/20,455430.0,3.23,3.23,3.23,3.23
08/01/20,9690.0,3.23,3.23,3.23,3.23
09/01/20,45260.0,3.23,3.13,3.25,3.13
10/01/20,16210.0,3.25,3.24,3.25,3.24
15/01/20,64800.0,3.24,3.24,3.24,3.24
16/01/20,48560.0,3.24,3.24,3.24,3.2
17/01/20,379090.0,3.24,3.24,3.25,3.24
20/01/20,48600.0,3.24,3.24,3.24,3.24
21/01/20,19290.0,3.19,3.24,3.24,3.19
22/01/20,12910.0,3.25,3.22,3.25,3.22
24/01/20,120540.0,3.19,3.17,3.19,3.15
27/01/20,76000.0,3.15,3.2,3.2,3.15
28/01/20,214920.0,3.19,3.15,3.19,3.15
29/01/20,182590.0,3.18,3.17,3.18,3.11
30/01/20,228360.0,3.17,3.12,3.17,3.12
31/01/20,12320.0,3.11,3.07,3.11,3.07
03/02/20,3180.0,3.18,3.18,3.18,3.18
04/02/20,75640.0,3.17,3.15,3.17,3.15
05/02/20,101800.0,3.17,3.24,3.31,3.17
06/02/20,96600.0,3.22,3.22,3.22,3.22
07/02/20,40660.0,3.04,3.15,3.15,3.04
11/02/20,12820.0,3.22,3.2,3.22,3.2
13/02/20,61430.0,3.08,3.07,3.08,3.07
14/02/20,194530.0,3.07,3.07,3.14,3.07
17/02/20,619190.0,3.07,3.13,3.13,3.0
18/02/20,864910.0,3.13,3.06,3.13,3.04
19/02/20,118550.0,3.06,3.03,3.12,3.03
20/02/20,217390.0,3.03,3.09,3.09,3.01
24/02/20,33540.0,3.04,3.04,3.06,3.04
26/02/20,144610.0,3.03,3.11,3.11,3.0
27/02/20,12360.0,3.09,3.09,3.09,3.09
28/02/20,382630.0,3.03,3.04,3.09,3.02
02/03/20,247680.0,3.02,3.02,3.04,3.02
03/03/20,9893570.0,3.02,3.07,3.07,3.02
04/03/20,85560.0,3.05,3.07,3.07,3.05
05/03/20,141940.0,3.02,3.02,3.02,3.02
06/03/20,3090.0,3.09,3.09,3.09,3.09
09/03/20,149660.0,3.0,2.98,3.0,2.98
10/03/20,653500.0,2.98,2.97,2.98,2.97
11/03/20,96490.0,3.0,3.02,3.05,3.0
12/03/20,38150.0,2.98,2.9,2.98,2.9
13/03/20,335610.0,2.75,2.9,3.0,2.75
19/03/20,46090.0,2.71,2.6,2.71,2.45
20/03/20,140110.0,2.6,2.6,2.6,2.45
23/03/20,21660.0,2.79,2.7,2.79,2.55
24/03/20,265000.0,2.7,2.8,2.8,2.7
25/03/20,5900.0,3.0,2.9,3.0,2.9
26/03/20,5800.0,2.9,2.9,2.9,2.9
27/03/20,156730.0,2.75,2.74,2.76,2.74
30/03/20,291850.0,2.7,2.75,2.9,2.7
31/03/20,1562830.0,2.75,2.75,2.8,2.68
01/04/20,661300.0,2.75,2.85,2.99,2.75
02/04/20,299020.0,2.98,2.85,2.98,2.7
03/04/20,121010.0,2.98,2.97,2.98,2.9
06/04/20,539510.0,2.92,2.88,2.95,2.88
07/04/20,1841010.0,2.88,2.71,2.95,2.6
08/04/20,452930.0,2.92,2.77,2.92,2.75
13/04/20,1561950.0,2.77,2.75,2.8,2.75
14/04/20,385850.0,2.74,2.67,2.74,2.67
15/04/20,266700.0,2.65,2.67,2.7,2.65
16/04/20,85470.0,2.67,2.67,2.7,2.67
17/04/20,155210.0,2.63,2.66,2.66,2.62
20/04/20,24300.0,2.62,2.71,2.71,2.62
21/04/20,42140.0,2.64,2.63,2.64,2.63
22/04/20,108520.0,2.64,2.66,2.67,2.63
23/04/20,115420.0,2.7,2.65,2.71,2.65
24/04/20,80620.0,2.67,2.69,2.7,2.67
27/04/20,51400.0,2.69,2.7,2.71,2.69
28/04/20,100600.0,2.72,2.75,2.75,2.71
29/04/20,184100.0,2.75,2.73,2.75,2.7
30/04/20,457000.0,2.73,2.71,2.74,2.7
04/05/20,777900.0,2.7,2.7,2.72,2.7
05/05/20,145920.0,2.72,2.72,2.72,2.7
