Date,Value,Open,Close,High,Low
02/01/20,65700.0,1.26,1.29,1.29,1.26
07/01/20,8550.0,1.23,1.22,1.23,1.22
08/01/20,61030.0,1.23,1.22,1.23,1.22
09/01/20,450340.0,1.22,1.2,1.22,1.19
14/01/20,15500.0,1.19,1.24,1.24,1.18
16/01/20,3600.0,1.18,1.24,1.24,1.18
17/01/20,4780.0,1.19,1.23,1.23,1.18
20/01/20,1230.0,1.23,1.23,1.23,1.23
21/01/20,251160.0,1.19,1.21,1.21,1.15
22/01/20,1220.0,1.22,1.22,1.22,1.22
23/01/20,3560.0,1.17,1.22,1.22,1.17
24/01/20,1220.0,1.22,1.22,1.22,1.22
30/01/20,36600.0,1.22,1.22,1.22,1.22
31/01/20,418580.0,1.16,1.2,1.2,1.09
03/02/20,222440.0,1.1,1.22,1.22,1.1
04/02/20,90210.0,1.13,1.15,1.19,1.1
05/02/20,65170.0,1.11,1.13,1.13,1.08
06/02/20,9950.0,1.1,1.18,1.18,1.09
07/02/20,18860.0,1.1,1.18,1.18,1.1
10/02/20,4400.0,1.1,1.1,1.1,1.1
12/02/20,11200.0,1.12,1.12,1.12,1.12
13/02/20,12130.0,1.11,1.12,1.12,1.1
14/02/20,59450.0,1.12,1.17,1.17,1.11
17/02/20,45100.0,1.12,1.13,1.13,1.12
18/02/20,57850.0,1.16,1.13,1.16,1.13
19/02/20,89630.0,1.11,1.16,1.16,1.1
20/02/20,22600.0,1.1,1.16,1.16,1.1
21/02/20,105140.0,1.1,1.16,1.16,1.1
24/02/20,199440.0,1.1,1.11,1.11,1.1
26/02/20,1081150.0,1.1,1.11,1.11,1.0
28/02/20,209500.0,1.04,1.03,1.1,1.0
02/03/20,76720.0,1.0,0.9,1.01,0.9
04/03/20,225110.0,1.04,0.95,1.16,0.95
05/03/20,19670.0,0.98,0.98,1.0,0.98
06/03/20,6330.0,1.1,0.98,1.1,0.98
09/03/20,598410.0,0.97,0.92,0.97,0.88
10/03/20,160480.0,0.91,0.95,0.95,0.9
11/03/20,22800.0,0.95,0.95,0.95,0.95
