Date,Value,Open,Close,High,Low
02/01/20,286460.0,2.48,2.48,2.48,2.4
03/01/20,151270.0,2.48,2.41,2.48,2.41
06/01/20,190270.0,2.39,2.39,2.41,2.35
07/01/20,323870.0,2.45,2.4,2.45,2.38
08/01/20,310280.0,2.38,2.34,2.38,2.34
09/01/20,807210.0,2.45,2.35,2.45,2.34
10/01/20,5351270.0,2.36,2.47,2.47,2.34
14/01/20,293890.0,2.47,2.44,2.47,2.4
15/01/20,65600.0,2.42,2.43,2.45,2.42
16/01/20,127790.0,2.45,2.4,2.45,2.39
17/01/20,4558580.0,2.36,2.46,2.46,2.35
20/01/20,2441490.0,2.47,2.49,2.5,2.47
21/01/20,1308190.0,2.48,2.45,2.48,2.4
22/01/20,1501570.0,2.45,2.45,2.48,2.36
23/01/20,302260.0,2.36,2.46,2.5,2.36
24/01/20,3485250.0,2.46,2.55,2.58,2.46
27/01/20,3179930.0,2.55,2.56,2.58,2.5
28/01/20,415860.0,2.58,2.57,2.58,2.55
29/01/20,862390.0,2.56,2.56,2.56,2.44
30/01/20,395200.0,2.54,2.54,2.56,2.5
31/01/20,70270.0,2.54,2.53,2.58,2.45
03/02/20,239190.0,2.48,2.5,2.5,2.45
04/02/20,377750.0,2.48,2.5,2.58,2.46
05/02/20,154610.0,2.5,2.5,2.53,2.45
06/02/20,1129180.0,2.46,2.54,2.54,2.46
07/02/20,261340.0,2.46,2.52,2.52,2.46
10/02/20,205130.0,2.46,2.52,2.52,2.46
11/02/20,5151470.0,2.55,2.55,2.55,2.49
12/02/20,363010.0,2.55,2.54,2.55,2.5
13/02/20,586220.0,2.52,2.51,2.52,2.5
14/02/20,304980.0,2.55,2.53,2.55,2.4
17/02/20,75800.0,2.52,2.53,2.53,2.52
18/02/20,175640.0,2.52,2.51,2.52,2.5
19/02/20,12510.0,2.5,2.51,2.51,2.5
20/02/20,656910.0,2.43,2.53,2.53,2.41
21/02/20,109640.0,2.42,2.49,2.5,2.42
24/02/20,194700.0,2.4,2.49,2.49,2.4
