Date,Value,Open,Close,High,Low
02/01/20,242219.0,5.66,5.66,5.7,5.55
03/01/20,4347480.0,5.6,5.89,6.0,5.6
06/01/20,381601.0,5.8,5.93,5.94,5.65
07/01/20,313873.0,5.93,5.92,5.95,5.71
08/01/20,299058.0,5.92,5.87,5.92,5.6
09/01/20,297569.0,5.72,5.84,5.86,5.7
10/01/20,865766.0,5.7,5.84,5.84,5.7
14/01/20,612546.0,5.9,5.88,5.9,5.7
15/01/20,241577.0,5.87,5.85,5.87,5.8
16/01/20,144046.0,5.85,5.9,5.9,5.7
17/01/20,53447.0,5.9,5.87,5.9,5.71
20/01/20,88744.0,5.89,5.87,5.89,5.72
21/01/20,309701.0,5.73,5.85,5.87,5.6
22/01/20,134072.0,5.85,5.85,5.85,5.6
23/01/20,321201.0,5.89,5.87,5.89,5.69
24/01/20,127129.0,5.85,5.87,5.87,5.73
27/01/20,437849.0,5.61,5.75,5.85,5.5
28/01/20,610580.0,5.64,5.5,5.64,5.5
29/01/20,1033369.0,5.5,5.66,5.79,5.23
30/01/20,339014.0,5.64,5.3,5.64,5.3
31/01/20,889089.0,5.25,5.3,5.6,5.24
03/02/20,878529.0,5.4,5.48,5.58,5.26
04/02/20,584463.0,5.27,5.27,5.48,5.27
05/02/20,256164.0,5.4,5.28,5.44,5.28
06/02/20,488238.0,5.4,5.29,5.4,5.28
07/02/20,385380.0,5.28,5.39,5.45,5.06
10/02/20,96672.0,5.44,5.23,5.44,5.23
11/02/20,263416.0,5.24,5.24,5.24,5.1
12/02/20,590718.0,5.2,5.24,5.24,5.03
13/02/20,654747.0,5.18,5.06,5.29,5.03
14/02/20,665329.0,5.06,5.23,5.24,5.04
17/02/20,625458.0,5.03,5.2,5.2,5.01
18/02/20,445013.0,5.18,5.17,5.18,5.01
19/02/20,679805.0,5.12,5.19,5.24,5.02
20/02/20,54349.0,5.18,5.17,5.18,5.06
21/02/20,555711.0,5.08,5.16,5.23,5.01
24/02/20,363769.0,5.1,5.18,5.18,5.0
26/02/20,277428.0,5.03,5.05,5.05,5.0
27/02/20,765504.0,5.0,4.95,5.17,4.91
28/02/20,279490.0,5.03,4.92,5.08,4.91
02/03/20,118180.0,4.95,4.95,4.95,4.9
03/03/20,90470.0,4.95,5.05,5.05,4.9
04/03/20,21485.0,4.91,5.05,5.07,4.91
05/03/20,177647.0,4.91,5.05,5.14,4.91
06/03/20,724256.0,4.95,4.9,5.11,4.9
09/03/20,230320.0,4.88,4.9,4.9,4.01
10/03/20,878200.0,4.0,4.5,4.6,3.71
11/03/20,521210.0,4.07,4.9,4.9,4.07
12/03/20,408920.0,4.16,4.14,4.74,4.14
13/03/20,988720.0,4.01,4.07,4.14,3.71
16/03/20,184740.0,3.81,4.07,4.07,3.8
19/03/20,189950.0,3.85,3.72,3.95,3.6
20/03/20,258480.0,3.62,3.55,3.71,3.55
23/03/20,218570.0,3.4,3.39,3.59,3.39
