Date,Value,Open,Close,High,Low
02/01/20,92800.0,0.116,0.116,0.116,0.116
03/01/20,172330.0,0.115,0.117,0.117,0.114
07/01/20,30040.0,0.114,0.116,0.116,0.114
08/01/20,92140.0,0.114,0.125,0.125,0.114
09/01/20,59000.0,0.118,0.118,0.118,0.118
10/01/20,50160.0,0.118,0.12,0.12,0.118
15/01/20,28800.0,0.12,0.12,0.12,0.12
16/01/20,243800.0,0.12,0.115,0.12,0.115
17/01/20,159240.0,0.116,0.118,0.118,0.116
20/01/20,125140.0,0.116,0.115,0.116,0.115
21/01/20,64400.0,0.115,0.115,0.115,0.115
22/01/20,30080.0,0.115,0.118,0.118,0.115
23/01/20,12820.0,0.116,0.122,0.122,0.116
24/01/20,47900.0,0.119,0.12,0.12,0.119
27/01/20,58720.0,0.121,0.118,0.121,0.118
28/01/20,15340.0,0.118,0.118,0.118,0.118
29/01/20,38940.0,0.118,0.118,0.118,0.118
31/01/20,193600.0,0.116,0.121,0.121,0.115
04/02/20,59700.0,0.117,0.12,0.12,0.117
05/02/20,11500.0,0.115,0.115,0.115,0.115
06/02/20,167960.0,0.116,0.115,0.116,0.115
07/02/20,40250.0,0.115,0.115,0.115,0.115
10/02/20,34800.0,0.116,0.116,0.116,0.116
12/02/20,120680.0,0.117,0.118,0.122,0.117
14/02/20,29120.0,0.116,0.117,0.12,0.116
17/02/20,177280.0,0.12,0.117,0.122,0.117
18/02/20,12100.0,0.121,0.121,0.121,0.121
19/02/20,5950.0,0.119,0.119,0.119,0.119
20/02/20,23800.0,0.119,0.119,0.119,0.119
21/02/20,69030.0,0.117,0.117,0.117,0.117
24/02/20,8220.0,0.117,0.12,0.12,0.117
27/02/20,36370.0,0.117,0.116,0.12,0.116
28/02/20,26620.0,0.116,0.121,0.121,0.115
03/03/20,15600.0,0.12,0.12,0.12,0.12
04/03/20,47600.0,0.116,0.12,0.12,0.116
05/03/20,3540.0,0.12,0.117,0.12,0.117
09/03/20,120400.0,0.116,0.115,0.116,0.115
10/03/20,239170.0,0.115,0.115,0.115,0.112
12/03/20,172060.0,0.112,0.1,0.112,0.1
13/03/20,121170.0,0.115,0.119,0.12,0.115
19/03/20,7190.0,0.12,0.119,0.12,0.119
25/03/20,29250.0,0.117,0.117,0.117,0.117
26/03/20,97400.0,0.1,0.11,0.11,0.1
27/03/20,31300.0,0.11,0.11,0.11,0.1
31/03/20,10100.0,0.101,0.101,0.101,0.101
01/04/20,209620.0,0.102,0.111,0.111,0.1
02/04/20,6420.0,0.102,0.108,0.108,0.102
03/04/20,29180.0,0.106,0.106,0.106,0.102
06/04/20,1198230.0,0.107,0.107,0.107,0.101
07/04/20,84210.0,0.103,0.11,0.11,0.102
08/04/20,9810.0,0.109,0.109,0.109,0.109
13/04/20,42510.0,0.109,0.109,0.109,0.109
14/04/20,31210.0,0.109,0.109,0.109,0.103
15/04/20,43890.0,0.109,0.107,0.109,0.107
16/04/20,50400.0,0.105,0.105,0.105,0.105
21/04/20,217700.0,0.105,0.115,0.115,0.105
22/04/20,26380.0,0.108,0.115,0.115,0.108
23/04/20,51590.0,0.108,0.115,0.118,0.108
27/04/20,48460.0,0.107,0.113,0.113,0.107
28/04/20,18280.0,0.107,0.107,0.11,0.107
29/04/20,130440.0,0.113,0.11,0.115,0.11
30/04/20,91180.0,0.118,0.118,0.118,0.109
04/05/20,35150.0,0.117,0.11,0.117,0.11
06/05/20,176970.0,0.108,0.107,0.117,0.107
07/05/20,11590.0,0.116,0.116,0.116,0.115
08/05/20,147930.0,0.116,0.111,0.116,0.111
11/05/20,4470.0,0.108,0.113,0.113,0.108
13/05/20,87790.0,0.113,0.11,0.113,0.107
20/05/20,2060.0,0.103,0.103,0.103,0.103
21/05/20,15310.0,0.103,0.102,0.103,0.102
26/05/20,2040.0,0.102,0.102,0.102,0.102
27/05/20,1020.0,0.102,0.102,0.102,0.102
28/05/20,1030.0,0.103,0.103,0.103,0.103
29/05/20,1030.0,0.103,0.103,0.103,0.103
01/06/20,252760.0,0.103,0.1,0.103,0.1
02/06/20,37090.0,0.103,0.103,0.104,0.103
03/06/20,10530.0,0.105,0.11,0.11,0.104
