Date,Value,Open,Close,High,Low
02/01/20,180028.0,177.8,175.0,177.8,175.0
03/01/20,49000.0,175.0,175.0,175.0,175.0
06/01/20,1772710.0,175.0,173.0,175.0,173.0
07/01/20,10380.0,173.0,173.0,173.0,173.0
08/01/20,1923250.0,175.0,175.0,175.0,175.0
09/01/20,390250.0,175.0,175.0,175.0,175.0
10/01/20,49000.0,175.0,175.0,175.0,175.0
14/01/20,34775.0,175.0,173.5,175.0,173.5
15/01/20,73538.0,178.0,177.8,178.0,174.0
16/01/20,422044.0,172.5,173.0,173.1,172.5
17/01/20,17350.0,173.5,173.5,173.5,173.5
20/01/20,55555.0,175.0,173.5,175.0,173.5
21/01/20,55520.0,173.5,173.5,173.5,173.5
22/01/20,1827746.0,174.0,178.0,179.0,174.0
23/01/20,837764.0,179.0,172.0,179.0,170.0
24/01/20,601022.0,173.0,172.0,173.0,170.0
27/01/20,17102.0,172.0,170.2,172.0,170.0
28/01/20,109266.0,178.8,170.5,178.8,170.3
29/01/20,8877.0,178.0,177.0,178.0,177.0
30/01/20,26269.0,176.9,175.0,176.9,175.0
31/01/20,230648.0,176.9,177.9,178.8,170.0
04/02/20,79517.0,176.0,176.0,177.9,176.0
05/02/20,5280.0,176.0,176.0,176.0,176.0
06/02/20,54829.0,176.0,176.0,177.0,176.0
07/02/20,35200.0,176.0,176.0,176.0,176.0
10/02/20,435295.0,177.0,172.0,177.0,172.0
11/02/20,161538.0,172.0,172.0,173.8,171.6
12/02/20,3529.0,176.9,176.0,176.9,176.0
14/02/20,31680.0,176.0,176.0,176.0,176.0
17/02/20,1539426.0,176.0,178.8,179.5,173.0
18/02/20,21395.0,178.7,177.7,179.3,177.7
19/02/20,3462.0,173.2,173.0,173.2,173.0
20/02/20,44176.0,178.9,177.0,179.0,176.0
21/02/20,12330.0,177.0,176.0,177.0,176.0
24/02/20,81310.0,173.0,173.0,173.0,173.0
26/02/20,26164.0,175.0,172.7,175.0,172.7
27/02/20,68996.0,172.7,173.0,173.0,172.1
28/02/20,32681.0,172.1,171.9,172.1,171.9
02/03/20,175457.0,172.0,167.3,172.0,167.1
03/03/20,950513.0,167.4,160.0,167.4,160.0
04/03/20,823586.0,160.1,155.0,160.1,155.0
05/03/20,798542.0,155.0,153.1,165.0,152.9
06/03/20,1493959.0,153.1,167.0,167.0,153.1
09/03/20,1059637.0,170.0,148.0,170.0,148.0
10/03/20,298600.0,148.0,153.0,153.0,148.0
11/03/20,88692.0,150.0,150.3,153.0,150.0
12/03/20,3432000.0,152.5,149.5,152.5,149.5
13/03/20,312240.0,149.0,148.0,149.0,147.0
16/03/20,38865.0,150.0,149.0,150.0,149.0
19/03/20,69551.0,148.0,148.5,149.0,145.8
20/03/20,310259.0,145.8,132.1,148.5,132.0
23/03/20,57403.0,133.0,145.0,145.0,133.0
24/03/20,1097446.0,149.5,150.1,164.0,149.5
25/03/20,1076901.0,155.1,156.5,179.0,155.1
26/03/20,131264.0,179.0,172.0,179.0,155.1
27/03/20,499750.0,176.0,172.0,176.9,171.0
30/03/20,460846.0,170.0,168.9,170.0,157.1
31/03/20,83486.0,167.0,168.8,168.8,165.0
01/04/20,14931.0,168.7,168.0,168.8,157.0
02/04/20,3360.0,168.0,168.0,168.0,168.0
03/04/20,20215.0,168.0,169.5,169.5,168.0
06/04/20,71045.0,169.5,167.5,170.0,167.5
07/04/20,285045.0,170.0,169.5,170.0,169.0
08/04/20,72816.0,169.5,169.3,169.5,169.0
13/04/20,18607.0,169.3,169.0,169.5,169.0
14/04/20,213995.0,170.0,162.1,170.0,160.0
15/04/20,140786.0,162.2,169.2,169.9,162.1
16/04/20,94223.0,169.0,165.0,169.0,162.0
17/04/20,16292.0,162.2,163.0,163.0,162.2
20/04/20,28231.0,163.1,165.0,169.0,163.1
21/04/20,198760.0,163.0,163.0,165.0,162.2
22/04/20,61697.0,163.0,168.8,168.9,163.0
23/04/20,19470.0,163.0,162.5,163.0,162.0
24/04/20,56980.0,162.5,163.0,163.0,162.5
27/04/20,140699.0,165.0,166.0,166.9,165.0
28/04/20,14980.0,166.0,166.5,166.5,166.0
29/04/20,28485.0,167.9,166.5,167.9,166.5
30/04/20,207225.0,165.0,168.9,168.9,165.0
04/05/20,20175.0,168.8,168.9,168.9,164.0
05/05/20,56450.0,169.0,165.0,169.0,165.0
06/05/20,55158.0,168.9,168.9,168.9,166.0
07/05/20,21937.0,168.8,168.7,168.8,168.7
08/05/20,86117.0,168.9,168.8,168.9,168.8
11/05/20,366680.0,168.8,168.5,169.8,168.5
12/05/20,1685.0,168.5,168.5,168.5,168.5
13/05/20,15165.0,168.5,168.5,168.5,168.5
14/05/20,61020.0,169.5,169.5,169.5,169.5
15/05/20,104870.0,169.5,169.0,169.5,168.5
18/05/20,113410.0,169.0,169.0,169.5,169.0
19/05/20,721510.0,169.0,169.0,174.0,169.0
20/05/20,8450.0,169.0,169.0,169.0,169.0
21/05/20,6767.0,169.0,169.0,169.7,169.0
22/05/20,8457.0,169.7,169.0,169.7,169.0
26/05/20,127337.0,173.9,165.0,173.9,165.0
27/05/20,36497.0,165.0,170.0,170.0,165.0
28/05/20,85000.0,170.0,170.0,170.0,170.0
29/05/20,752572.0,170.0,171.6,173.9,167.0
01/06/20,39438.0,173.9,170.0,173.9,170.0
02/06/20,92180.0,173.8,170.0,173.8,170.0
03/06/20,88164.0,172.9,172.5,172.9,163.8
04/06/20,275132.0,172.5,172.0,175.0,172.0
05/06/20,282230.0,170.0,170.0,171.0,170.0
08/06/20,819352.0,172.0,167.5,172.0,167.5
09/06/20,271005.0,168.0,168.0,168.0,165.0
10/06/20,41840.0,168.0,165.0,170.0,165.0
11/06/20,965690.0,170.0,170.0,172.0,170.0
15/06/20,43570.0,170.0,169.0,170.0,167.0
16/06/20,244114.0,166.0,166.0,168.0,165.8
17/06/20,88820.0,166.0,168.0,168.0,166.0
18/06/20,20135.0,165.9,169.0,170.0,165.9
19/06/20,18940684.0,166.5,156.7,170.0,156.7
22/06/20,539790.0,157.0,162.0,162.0,157.0
23/06/20,49900.0,161.0,160.0,161.0,160.0
24/06/20,38245.0,161.0,169.0,169.0,161.0
25/06/20,43209.0,168.9,168.0,168.9,164.2
26/06/20,1314887.0,168.0,168.0,168.0,161.0
29/06/20,31848.0,161.0,167.9,168.0,161.0
30/06/20,265191.0,167.9,167.9,167.9,161.0
01/07/20,168766.0,167.8,161.1,167.8,161.1
02/07/20,468322.0,168.0,162.5,170.0,161.2
03/07/20,317158.0,168.9,167.0,168.9,162.1
06/07/20,223000.0,167.0,167.0,167.0,163.0
09/07/20,480753.0,166.8,166.5,167.0,162.0
10/07/20,471666.0,166.6,162.0,166.6,162.0
13/07/20,1095287.0,161.6,165.0,166.0,160.0
14/07/20,351636.0,165.0,163.0,165.0,160.0
15/07/20,327665.0,160.0,159.5,160.0,159.5
16/07/20,532838.0,163.0,160.0,163.0,160.0
17/07/20,347201.0,164.0,160.5,164.0,160.5
20/07/20,395336.0,163.0,159.9,163.0,159.9
21/07/20,84669.0,160.8,159.5,160.8,159.5
22/07/20,522690.0,160.0,158.0,160.0,158.0
23/07/20,33400.0,158.0,160.0,160.0,158.0
24/07/20,184440.0,159.0,159.0,159.0,159.0
27/07/20,4770.0,159.0,159.0,159.0,159.0
28/07/20,15980.0,160.0,159.0,160.0,159.0
29/07/20,33311.0,159.0,157.0,160.0,157.0
30/07/20,384032.0,157.0,154.2,157.0,154.2
03/08/20,356526.0,154.2,156.5,156.5,154.0
04/08/20,108480.0,156.5,156.6,158.0,156.5
05/08/20,35531100.0,155.0,154.0,156.0,154.0
06/08/20,126316.0,155.0,154.1,155.0,154.0
07/08/20,9590.0,160.0,159.8,160.0,159.8
10/08/20,375770.0,159.5,155.0,159.5,155.0
11/08/20,285210.0,159.0,156.0,159.0,156.0
12/08/20,131184.0,156.0,156.0,158.9,156.0
13/08/20,48320.0,156.0,156.0,156.0,155.0
14/08/20,66810.0,159.0,155.0,159.0,155.0
17/08/20,90168.0,155.0,155.0,158.0,155.0
18/08/20,675656.0,155.0,154.4,156.0,154.3
19/08/20,57770.0,157.0,157.0,157.0,155.0
24/08/20,221555.0,158.0,156.0,158.0,155.0
25/08/20,514865.0,155.0,155.0,155.1,155.0
27/08/20,245002.0,155.0,156.8,156.8,154.0
28/08/20,37634.0,156.9,156.0,156.9,156.0
01/09/20,2730740.0,156.0,154.0,156.0,154.0
02/09/20,2528680.0,154.0,154.0,154.0,154.0
03/09/20,3201857.0,153.9,157.9,157.9,153.0
04/09/20,3213550.0,157.9,160.0,160.0,157.9
07/09/20,42660.0,158.0,158.0,158.0,158.0
08/09/20,15800.0,158.0,158.0,158.0,158.0
09/09/20,17370.0,158.0,157.5,158.0,157.5
10/09/20,451793.0,158.0,155.1,158.0,155.1
11/09/20,211044.0,155.1,155.1,159.5,155.1
14/09/20,1589.0,158.9,158.9,158.9,158.9
15/09/20,96189.0,158.8,155.1,158.8,155.0
16/09/20,44251.0,158.2,157.9,158.2,155.1
17/09/20,322308.0,157.9,157.0,158.0,157.0
18/09/20,94465.0,157.5,157.5,157.5,157.0
21/09/20,4699.0,156.0,157.9,157.9,156.0
22/09/20,100854.0,157.9,157.7,157.9,155.0
23/09/20,83634.0,157.8,157.8,157.8,157.8
24/09/20,14139.0,157.9,157.0,157.9,157.0
25/09/20,31384.0,157.8,157.0,157.8,154.6
28/09/20,326431.0,157.6,156.9,157.6,153.5
29/09/20,1570.0,157.0,157.0,157.0,157.0
30/09/20,166391.0,157.0,157.0,157.0,154.1
02/10/20,24987.0,157.0,155.0,157.5,155.0
05/10/20,407077.0,155.0,157.6,157.6,155.0
06/10/20,20420.0,157.5,157.0,157.5,157.0
07/10/20,134039.0,154.0,156.8,156.8,154.0
08/10/20,32760.0,156.0,156.0,156.0,156.0
09/10/20,18738.0,156.0,156.9,156.9,156.0
12/10/20,775362.0,156.9,156.8,156.9,153.5
13/10/20,81566.0,156.7,156.9,156.9,156.7
14/10/20,70558.0,156.8,156.8,156.8,156.7
15/10/20,106609.0,156.8,156.8,156.9,156.0
16/10/20,7840.0,156.8,156.8,156.8,156.8
19/10/20,230556.0,156.0,157.2,157.2,156.0
20/10/20,44057.0,157.3,157.4,157.4,157.3
21/10/20,230272.0,157.9,157.8,157.9,157.4
22/10/20,104214.0,157.9,157.9,157.9,157.9
23/10/20,736684.0,158.0,159.0,159.0,157.8
26/10/20,28510.0,160.0,158.0,160.0,158.0
27/10/20,20735.0,159.5,159.5,159.5,159.5
28/10/20,1920187.0,159.0,173.0,177.0,159.0
29/10/20,233510.0,172.0,166.0,172.0,166.0
30/10/20,170319.0,166.0,166.9,167.0,166.0
03/11/20,126895.0,162.5,166.5,166.5,160.0
04/11/20,99429.0,165.0,163.0,165.0,161.0
05/11/20,650710.0,163.0,164.0,165.0,163.0
06/11/20,144420.0,164.0,164.0,164.0,160.0
09/11/20,866300.0,164.0,158.0,164.0,158.0
10/11/20,1487831.0,158.0,162.0,168.9,158.0
11/11/20,977290.0,161.8,162.0,162.0,160.0
13/11/20,82540.0,162.0,161.0,162.0,161.0
16/11/20,72820.0,162.0,162.0,162.0,159.0
17/11/20,45010.0,162.0,160.5,162.0,160.5
18/11/20,315315.0,161.0,162.0,162.0,160.5
19/11/20,1838945.0,162.0,160.0,163.0,160.0
20/11/20,2023875.0,160.0,160.0,162.0,160.0
23/11/20,2861440.0,162.0,160.0,162.0,160.0
24/11/20,824692.0,160.0,160.0,160.0,158.6
25/11/20,198307.0,162.0,159.0,162.0,159.0
26/11/20,207597.0,160.0,158.1,160.0,158.0
27/11/20,450978.0,158.1,159.0,160.0,157.5
01/12/20,836626.0,159.0,160.0,160.0,158.8
02/12/20,463380.0,158.8,157.8,160.0,157.7
03/12/20,295274.0,158.0,157.9,158.0,157.8
04/12/20,5043742.0,158.0,157.0,158.0,156.7
07/12/20,714971.0,157.0,156.5,157.0,155.5
09/12/20,1429389.0,156.5,156.1,156.5,156.0
10/12/20,2876624.0,156.1,155.0,156.5,155.0
11/12/20,750472.0,155.0,155.4,155.9,155.0
14/12/20,725597.0,155.1,154.8,157.0,154.8
15/12/20,1829388.0,157.0,155.0,157.0,154.8
16/12/20,1435834.0,155.0,155.0,156.0,155.0
17/12/20,2289058.0,155.0,154.7,155.0,154.5
18/12/20,8399275.0,155.0,155.0,155.0,154.8
21/12/20,686928.0,154.8,154.8,154.8,154.1
22/12/20,6036422.0,154.8,154.7,154.9,153.8
23/12/20,674713.0,154.8,154.8,154.8,154.0
28/12/20,1667478.0,154.8,153.6,154.8,153.6
29/12/20,859721.0,153.6,153.9,154.0,153.5
04/01/21,690261.0,153.8,153.5,153.8,153.2
05/01/21,1148223.0,153.0,152.4,153.0,152.4
06/01/21,1256178.0,152.9,152.5,152.9,152.3
07/01/21,4038595.0,152.5,152.7,153.0,152.5
08/01/21,1593681.0,152.9,152.0,152.9,151.0
11/01/21,22937.0,152.5,154.5,154.5,152.0
