Date,Value,Open,Close,High,Low
02/01/20,635100.0,0.01,0.011,0.011,0.01
03/01/20,929800.0,0.01,0.011,0.011,0.01
06/01/20,292000.0,0.01,0.011,0.011,0.01
07/01/20,1736300.0,0.01,0.011,0.011,0.01
08/01/20,185500.0,0.011,0.011,0.011,0.01
09/01/20,363600.0,0.01,0.011,0.011,0.01
10/01/20,239400.0,0.01,0.011,0.011,0.01
14/01/20,861900.0,0.01,0.011,0.011,0.01
15/01/20,255000.0,0.01,0.011,0.011,0.01
16/01/20,170000.0,0.011,0.011,0.011,0.01
17/01/20,520200.0,0.01,0.011,0.011,0.01
20/01/20,262600.0,0.011,0.011,0.011,0.01
21/01/20,185000.0,0.01,0.011,0.011,0.01
22/01/20,238300.0,0.01,0.011,0.011,0.01
23/01/20,178000.0,0.01,0.011,0.011,0.01
24/01/20,2203100.0,0.01,0.011,0.011,0.01
27/01/20,166000.0,0.01,0.011,0.011,0.01
28/01/20,60000.0,0.01,0.011,0.011,0.01
29/01/20,85300.0,0.01,0.011,0.011,0.01
30/01/20,157200.0,0.011,0.01,0.011,0.01
31/01/20,3182200.0,0.011,0.01,0.011,0.01
03/02/20,282100.0,0.01,0.011,0.011,0.01
04/02/20,213300.0,0.011,0.01,0.011,0.01
05/02/20,265000.0,0.01,0.011,0.011,0.01
06/02/20,110000.0,0.011,0.011,0.011,0.011
07/02/20,210000.0,0.011,0.011,0.011,0.01
10/02/20,291000.0,0.01,0.01,0.011,0.01
11/02/20,171600.0,0.011,0.011,0.011,0.011
12/02/20,284100.0,0.011,0.011,0.011,0.01
13/02/20,62200.0,0.011,0.011,0.011,0.01
14/02/20,385900.0,0.011,0.01,0.011,0.01
17/02/20,205000.0,0.01,0.011,0.011,0.01
18/02/20,121600.0,0.01,0.011,0.011,0.01
19/02/20,109600.0,0.01,0.011,0.011,0.01
20/02/20,157800.0,0.01,0.01,0.011,0.01
21/02/20,304600.0,0.01,0.01,0.011,0.01
24/02/20,336500.0,0.01,0.011,0.011,0.01
26/02/20,205500.0,0.011,0.011,0.011,0.01
27/02/20,527100.0,0.01,0.01,0.011,0.01
28/02/20,959400.0,0.01,0.011,0.011,0.01
02/03/20,2159500.0,0.01,0.0099,0.011,0.0099
03/03/20,593400.0,0.01,0.0099,0.011,0.0099
04/03/20,39900.0,0.0099,0.01,0.01,0.0099
05/03/20,4852590.0,0.01,0.0095,0.01,0.0094
06/03/20,57600.0,0.0096,0.0096,0.0096,0.0096
09/03/20,24000.0,0.008,0.008,0.008,0.008
10/03/20,25300.0,0.006,0.0064,0.0065,0.006
