Date,Value,Open,Close,High,Low
02/01/20,4280.0,214.0,214.0,214.0,214.0
03/01/20,104788.0,214.0,214.0,214.0,211.8
06/01/20,132224.0,206.6,206.6,206.6,206.6
07/01/20,568162.0,206.6,206.6,206.8,206.6
08/01/20,143134.0,206.4,204.0,206.4,203.6
09/01/20,498396.0,202.6,202.6,202.6,202.6
10/01/20,4164.0,202.6,213.8,213.8,202.6
15/01/20,74936.0,213.8,207.2,213.8,203.2
16/01/20,63826.0,207.0,213.8,213.8,207.0
17/01/20,512094.0,214.0,203.8,214.0,203.4
21/01/20,150514.0,203.4,190.3,212.6,190.3
22/01/20,72252.0,190.5,190.0,190.5,190.0
23/01/20,878271.0,185.0,203.8,203.8,175.0
24/01/20,1120314.0,203.4,199.9,203.4,180.0
27/01/20,658788.0,176.4,180.0,198.9,176.4
28/01/20,318496.0,183.0,199.0,199.0,183.0
29/01/20,93107595.0,186.0,186.0,186.0,184.0
30/01/20,1834695.0,188.0,180.0,188.1,179.0
31/01/20,758312.0,184.0,186.0,186.0,179.4
03/02/20,585690.0,186.0,176.0,186.0,166.0
04/02/20,1009106.0,176.0,176.0,176.0,174.0
05/02/20,111554.0,176.0,176.0,176.0,173.0
06/02/20,994538.0,176.0,175.8,176.0,170.0
07/02/20,17400.0,174.0,174.0,174.0,174.0
10/02/20,969472.0,166.0,172.5,173.1,166.0
11/02/20,71264.0,170.0,170.0,170.0,169.0
12/02/20,297441.0,170.0,170.0,170.0,167.8
13/02/20,298962.0,170.0,170.0,170.0,167.6
14/02/20,473319.0,167.5,165.0,169.9,165.0
17/02/20,117752.0,164.5,163.8,164.5,162.5
18/02/20,392401.0,163.5,169.9,169.9,163.0
19/02/20,99602.0,163.0,169.0,169.0,163.0
20/02/20,223607.0,166.0,165.6,166.0,164.8
21/02/20,1262504.0,164.5,166.0,166.0,162.5
24/02/20,831869.0,162.3,169.9,169.9,155.0
26/02/20,295849.0,164.0,164.8,169.9,164.0
27/02/20,972567.0,163.5,163.0,163.5,151.0
28/02/20,2466853.0,160.0,159.9,160.0,150.6
02/03/20,313320.0,151.0,150.0,151.0,150.0
03/03/20,713887.0,150.0,140.0,158.0,139.9
