Date,Value,Open,Close,High,Low
02/01/20,10878250.0,2.23,2.29,2.39,2.21
03/01/20,19224090.0,2.34,2.44,2.48,2.31
06/01/20,9900310.0,2.43,2.35,2.44,2.35
07/01/20,6496570.0,2.38,2.37,2.41,2.34
08/01/20,6237300.0,2.37,2.33,2.37,2.25
09/01/20,5542240.0,2.31,2.41,2.42,2.31
10/01/20,4147530.0,2.41,2.35,2.42,2.35
14/01/20,4762430.0,2.37,2.3,2.38,2.28
15/01/20,6477820.0,2.3,2.32,2.38,2.3
16/01/20,8777470.0,2.32,2.29,2.35,2.27
17/01/20,8945420.0,2.28,2.26,2.34,2.22
20/01/20,23624180.0,2.25,2.15,2.26,2.14
21/01/20,28241290.0,2.15,2.08,2.23,1.98
22/01/20,15658040.0,2.08,2.24,2.25,2.05
23/01/20,10881060.0,2.24,2.22,2.27,2.16
24/01/20,9084970.0,2.25,2.15,2.28,2.13
27/01/20,2731420.0,2.15,2.13,2.18,2.1
28/01/20,8205570.0,2.12,2.03,2.12,2.03
29/01/20,3898470.0,2.04,2.07,2.1,2.04
30/01/20,5944060.0,2.08,2.04,2.12,2.02
31/01/20,9234120.0,2.02,1.98,2.07,1.98
03/02/20,6586680.0,1.98,2.07,2.11,1.95
04/02/20,13851810.0,2.08,2.13,2.17,2.08
05/02/20,8373740.0,2.17,2.15,2.2,2.13
06/02/20,4092180.0,2.18,2.16,2.19,2.14
07/02/20,11142980.0,2.16,2.14,2.16,2.09
10/02/20,4893930.0,2.15,2.04,2.15,2.03
11/02/20,5991290.0,2.02,2.09,2.12,2.0
12/02/20,1854200.0,2.12,2.08,2.12,2.05
13/02/20,7846300.0,2.09,2.07,2.09,2.02
14/02/20,2782900.0,2.03,2.11,2.12,2.02
17/02/20,6319720.0,2.09,2.15,2.18,2.09
18/02/20,969460.0,2.16,2.13,2.17,2.12
19/02/20,1398770.0,2.15,2.14,2.15,2.1
20/02/20,12594000.0,2.14,2.22,2.25,2.14
