Date,Value,Open,Close,High,Low
02/01/20,25047300.0,7.33,9.88,10.1,7.33
03/01/20,21828160.0,10.1,9.5,10.54,9.0
06/01/20,4636046.0,9.45,9.3,9.65,9.08
07/01/20,9553122.0,9.2,9.8,9.98,9.05
08/01/20,14079602.0,9.88,9.55,10.18,9.28
09/01/20,17214898.0,9.56,9.9,10.32,9.55
10/01/20,6454408.0,10.18,9.58,10.18,9.57
14/01/20,20480521.0,9.58,8.97,9.58,8.71
15/01/20,5447618.0,9.2,8.75,9.2,8.4
16/01/20,1388883.0,8.39,8.5,8.71,8.39
17/01/20,5884315.0,8.5,8.7,8.95,8.35
20/01/20,12504306.0,8.71,8.1,8.89,7.91
21/01/20,4420665.0,8.1,7.88,8.45,7.82
22/01/20,1100006.0,7.9,8.13,8.17,7.8
23/01/20,1065268.0,8.01,8.24,8.3,8.01
24/01/20,842712.0,8.11,8.1,8.35,8.09
27/01/20,1388314.0,8.1,8.0,8.1,7.85
28/01/20,4423254.0,7.9,8.17,8.2,7.7
29/01/20,1022842.0,8.2,7.95,8.2,7.95
30/01/20,735438.0,8.0,8.0,8.07,7.85
31/01/20,5134016.0,8.0,7.91,8.24,7.4
03/02/20,1181686.0,7.91,7.9,8.0,7.55
04/02/20,1666472.0,7.99,7.6,8.05,7.6
05/02/20,1554312.0,7.8,7.77,8.05,7.6
06/02/20,4551965.0,7.61,7.65,7.9,7.45
07/02/20,3273583.0,7.45,7.48,7.6,7.28
10/02/20,1183955.0,7.5,7.5,7.6,7.3
11/02/20,758001.0,7.4,7.39,7.47,7.21
12/02/20,388087.0,7.39,7.23,7.58,7.23
13/02/20,1014643.0,7.21,7.18,7.39,7.03
14/02/20,1006712.0,7.18,6.99,7.18,6.85
17/02/20,788372.0,6.99,6.85,6.99,6.83
18/02/20,919358.0,6.85,6.99,7.45,6.81
19/02/20,1301760.0,7.42,7.27,7.42,7.02
20/02/20,329819.0,7.02,7.17,7.33,7.02
21/02/20,206825.0,7.3,7.1,7.3,7.04
24/02/20,965042.0,7.04,6.71,7.17,6.7
26/02/20,1284887.0,6.72,6.45,7.0,6.3
27/02/20,474606.0,6.45,6.49,6.8,6.38
28/02/20,3179501.0,6.2,6.49,7.29,6.2
02/03/20,541220.0,6.5,6.27,6.5,6.27
03/03/20,1332757.0,6.28,6.44,6.74,6.2
04/03/20,1824520.0,6.46,6.58,6.58,6.21
05/03/20,29555120.0,6.41,7.78,7.98,6.4
06/03/20,23822839.0,7.78,7.4,8.17,7.25
09/03/20,6851466.0,7.1,6.76,7.5,6.24
10/03/20,2521241.0,6.2,6.07,6.2,5.48
11/03/20,2355232.0,6.15,6.09,6.33,5.82
12/03/20,2174432.0,5.82,5.65,5.82,5.5
13/03/20,2068618.0,5.64,5.39,5.64,5.0
16/03/20,432290.0,5.0,5.28,5.4,4.94
19/03/20,1423164.0,5.0,4.7,5.0,4.2
20/03/20,195600.0,5.0,5.19,5.5,4.65
23/03/20,254846.0,5.18,5.0,5.18,4.45
24/03/20,313294.0,4.7,4.7,4.8,4.6
25/03/20,959440.0,4.74,5.16,5.2,4.74
26/03/20,626918.0,5.2,5.28,5.48,5.0
27/03/20,377766.0,5.6,5.45,5.8,5.24
30/03/20,1125730.0,5.25,5.25,5.4,4.9
31/03/20,389891.0,5.2,5.1,5.27,5.1
01/04/20,23520.0,5.11,5.11,5.25,5.11
02/04/20,690721.0,5.2,5.18,5.2,5.02
03/04/20,26152.0,5.39,5.27,5.39,5.1
06/04/20,813654.0,5.27,5.16,5.4,5.13
07/04/20,528116.0,5.26,5.31,5.33,5.26
08/04/20,702453.0,5.31,5.19,5.34,5.0
13/04/20,90227.0,5.1,5.23,5.23,5.07
14/04/20,554403.0,5.24,5.42,5.43,5.14
15/04/20,3369877.0,5.5,5.94,6.3,5.5
16/04/20,1733744.0,6.25,6.29,6.4,5.96
17/04/20,2004822.0,6.38,6.4,6.4,6.15
