Date,Value,Open,Close,High,Low
02/01/20,698950.0,0.27,0.28,0.28,0.265
03/01/20,1524150.0,0.28,0.27,0.28,0.265
06/01/20,579300.0,0.275,0.265,0.275,0.265
07/01/20,1554450.0,0.265,0.265,0.265,0.26
08/01/20,3079500.0,0.26,0.255,0.26,0.25
09/01/20,938450.0,0.25,0.26,0.27,0.25
10/01/20,6538200.0,0.27,0.28,0.29,0.255
14/01/20,2192800.0,0.285,0.275,0.285,0.265
15/01/20,765500.0,0.27,0.27,0.28,0.265
16/01/20,1082050.0,0.265,0.275,0.28,0.265
17/01/20,824900.0,0.275,0.27,0.28,0.27
20/01/20,2807750.0,0.275,0.285,0.29,0.275
21/01/20,1920150.0,0.285,0.29,0.29,0.28
22/01/20,600050.0,0.29,0.28,0.29,0.28
23/01/20,1543600.0,0.285,0.29,0.29,0.28
24/01/20,796850.0,0.29,0.285,0.29,0.28
27/01/20,1970250.0,0.285,0.285,0.285,0.275
28/01/20,852250.0,0.275,0.275,0.285,0.275
29/01/20,2150950.0,0.275,0.26,0.275,0.255
30/01/20,1245800.0,0.26,0.26,0.265,0.25
31/01/20,606300.0,0.255,0.255,0.255,0.25
03/02/20,1111100.0,0.25,0.245,0.25,0.245
04/02/20,385780.0,0.241,0.25,0.25,0.241
05/02/20,280810.0,0.25,0.25,0.25,0.245
06/02/20,787900.0,0.25,0.25,0.26,0.245
07/02/20,416290.0,0.255,0.25,0.255,0.248
10/02/20,290550.0,0.248,0.245,0.25,0.245
11/02/20,323070.0,0.245,0.244,0.249,0.244
12/02/20,191870.0,0.244,0.244,0.249,0.244
13/02/20,652070.0,0.249,0.237,0.249,0.237
14/02/20,271670.0,0.237,0.238,0.245,0.237
17/02/20,522370.0,0.238,0.238,0.239,0.236
18/02/20,256480.0,0.245,0.24,0.245,0.236
19/02/20,303070.0,0.24,0.236,0.24,0.236
20/02/20,173070.0,0.236,0.238,0.239,0.236
21/02/20,189710.0,0.236,0.238,0.238,0.235
24/02/20,794600.0,0.236,0.235,0.236,0.235
26/02/20,670210.0,0.234,0.231,0.234,0.21
27/02/20,420610.0,0.23,0.225,0.231,0.21
28/02/20,115650.0,0.21,0.211,0.225,0.21
02/03/20,204050.0,0.211,0.211,0.22,0.21
03/03/20,184020.0,0.212,0.222,0.223,0.212
04/03/20,321660.0,0.211,0.205,0.215,0.204
05/03/20,189890.0,0.205,0.21,0.21,0.205
06/03/20,577200.0,0.207,0.201,0.209,0.201
09/03/20,516650.0,0.201,0.18,0.201,0.18
10/03/20,217820.0,0.18,0.18,0.18,0.16
11/03/20,366050.0,0.18,0.175,0.195,0.175
12/03/20,411820.0,0.17,0.151,0.17,0.15
13/03/20,337950.0,0.15,0.158,0.158,0.15
16/03/20,253850.0,0.15,0.159,0.16,0.15
19/03/20,749390.0,0.158,0.14,0.158,0.14
20/03/20,62220.0,0.14,0.145,0.15,0.13
23/03/20,9730.0,0.13,0.14,0.143,0.13
24/03/20,148070.0,0.134,0.152,0.153,0.134
25/03/20,358050.0,0.152,0.154,0.158,0.15
26/03/20,355120.0,0.154,0.157,0.157,0.153
27/03/20,626250.0,0.159,0.154,0.165,0.14
30/03/20,246030.0,0.155,0.152,0.156,0.15
31/03/20,52550.0,0.16,0.16,0.16,0.155
01/04/20,128180.0,0.16,0.16,0.16,0.15
02/04/20,123760.0,0.159,0.155,0.159,0.153
03/04/20,30710.0,0.155,0.154,0.155,0.153
06/04/20,57860.0,0.154,0.154,0.158,0.154
07/04/20,620280.0,0.159,0.164,0.165,0.159
08/04/20,131140.0,0.158,0.158,0.158,0.158
13/04/20,83100.0,0.164,0.163,0.164,0.159
14/04/20,736890.0,0.163,0.17,0.17,0.155
15/04/20,1034220.0,0.18,0.177,0.183,0.177
16/04/20,135770.0,0.178,0.175,0.178,0.175
17/04/20,159380.0,0.17,0.173,0.175,0.17
20/04/20,620320.0,0.18,0.184,0.184,0.176
21/04/20,1178890.0,0.184,0.179,0.185,0.174
22/04/20,299090.0,0.179,0.18,0.18,0.177
23/04/20,3227690.0,0.18,0.195,0.2,0.18
24/04/20,1810460.0,0.196,0.203,0.206,0.196
27/04/20,593640.0,0.204,0.194,0.204,0.185
28/04/20,514970.0,0.194,0.191,0.194,0.185
29/04/20,248590.0,0.19,0.19,0.191,0.181
30/04/20,788010.0,0.192,0.199,0.2,0.185
04/05/20,577590.0,0.2,0.193,0.204,0.181
